#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Actibacterium pelagium	CGMCC 1.16012, JN33, KCTC 52653	no	yes
Actibacterium ureilyticum	BCRC 80823, JCM 30681, LS-811	yes	yes
Actimicrobium antarcticum	JCM 16673, KCTC 23040, KOPRI 25157	yes	no
Actinoallomurus acaciae	BCC 28622, GMKU 931, JCM 17235, NBRC 104354, NRRL B-24610	yes	no
Actinoallomurus acanthiterrae	2614A723, CCTCC AA 2012001, DSM 45727	yes	no
Actinoallomurus amamiensis	KCTC 19537, NBRC 103682, TT00-28	no	no
Actinoallomurus bryophytorum	CGMCC 4.7200, JCM 30340, NEAU-TX1-15	yes	no
Actinoallomurus caesius	A3015, KCTC 19535, NBRC 103678	no	no
Actinoallomurus coprocola	KCTC 19542, NBRC 103688, TT04-09	no	no
Actinoallomurus fulvus	KCTC 19536, NBRC 103680, TT99-66	no	no
Actinoallomurus iriomotensis	KCTC 19539, NBRC 103685, TT02-47	no	no
Actinoallomurus liliacearum	BCC 49424, JCM 17938, K10-0485, NBRC 108762	yes	no
Actinoallomurus luridus	KCTC 19538, NBRC 103683, TT02-15	no	no
Actinoallomurus oryzae	BCC 31373, GMKU 370, JCM 17933, NBRC 105246	yes	no
Actinoallomurus purpureus	KCTC 19541, NBRC 103687, TTN02-30	no	no
Actinoallomurus radicium	DSM 45523, JCM 17294, K08-0182, NBRC 107678	yes	no
Actinoallomurus spadix	ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, DSM 43459, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIMB 11118, NRRL B-16128	yes	no
Actinoallomurus vinaceus	BCC 49425, JCM 17939, K10-0528, NBRC 108763	yes	no
Actinoallomurus yoronensis	KCTC 19540, NBRC 103686, TTN02-22	no	no
Actinoalloteichus cyanogriseus	AS 4.1159, ATCC 27421 [[Streptomyces caeruleus]], BCRC 13659 [[Streptomyces caeruleus]], CBS 645.72 [[Streptomyces caeruleus]], CCRC 13659 [[Streptomyces caeruleus]], CIP 106755, DSM 18934 [[Streptomyces caeruleus]], DSM 40103 [[Streptomyces caeruleus]], DSM 43889, IFO 13344 [[Streptomyces caeruleus]], IFO 14455, IMET 40622 [[Streptomyces caeruleus]], IPV 930 [[Streptomyces caeruleus]], ISP 5103 [[Streptomyces caeruleus]], JCM 14210 [[Streptomyces caeruleus]], JCM 4014 [[Streptomyces caeruleus]], JCM 4730 [[Streptomyces caeruleus]], JCM 6095, NBRC 13344 [[Streptomyces caeruleus]], NBRC 14455, NRRL B-1623 [[Streptomyces caeruleus]], NRRL B-16252, NRRL B-2194 [[Streptomyces caeruleus]], NRRL-ISP 5103 [[Streptomyces caeruleus]], RIA 1305 [[Streptomyces caeruleus]], RIA 755 [[Streptomyces caeruleus]], ST18 [[Streptomyces caeruleus]], VKM Ac-1918 [[Streptomyces caeruleus]]	yes	yes
Actinoalloteichus hoggarensis	AH97, CECT 8639, DSM 45943	yes	yes
Actinoalloteichus hymeniacidonis	CGMCC 4.2500, DSM 45092, HPA 177, HPA177, JCM 13436	yes	yes
Actinoalloteichus nanshanensis	CGMCC 4.5714, DSM 45655, NBRC 106685, NEAU 119	yes	no
Actinoalloteichus spitiensis	DSM 44848, JCM 12472, MTCC 6194, NBRC 102582, RMV-1378	yes	yes
Actinobacillus anseriformium	CCM 7846, CCUG 60324, F66	yes	no
Actinobacillus arthritidis	ATCC 13376, CCUG 24862, CIP 107664, DSM 22258, P. 907, Wetmore 1706	yes	no
Actinobacillus capsulatus	ATCC 51571, CCUG 12396, CIP 103283, DSM 19761, Frederiksen P243, NCTC 11408	yes	yes
Actinobacillus delphinicola	ATCC 700179, CIP 106129, DSM 11374, M906/93, NCTC 12870	yes	no
Actinobacillus equuli	ATCC 19392, CCUG 2041, CIP 103284, DSM 19655, JCM 2432, LMG 3736, NCTC 8529	yes	no
Actinobacillus equuli subsp. equuli	ATCC 19392, CCUG 2041, CIP 103284, JCM 2432, LMG 3736, NCTC 8529	no	no
Actinobacillus equuli subsp. haemolyticus	CCUG 19799, DSM 22436, F 154, NCTC 13195	yes	no
Actinobacillus hominis	12, ATCC 49457, CCUG 19800, CIP 102631, DSM 22262, NCTC 11529, P 578, P578	yes	no
Actinobacillus indolicus	46KC2, CCUG 39029, CIP 105316	yes	no
Actinobacillus lignieresii	ATCC 49236, CCUG 41384, CIP 53.130, DSM 22256, NCTC 4189	yes	no
Actinobacillus minor	CCUG 38923, CIP 105314, NM305	yes	yes
Actinobacillus pleuropneumoniae	4074, ATCC 27088, CCM 5869, CCUG 12837, CCUG 41656, CCUG 43096, CIP 100916, DSM 13472, HK 405, NCTC 12370, Shope 4074	yes	yes
Actinobacillus porcinus	CCUG 38924, CIP 105315, NM319	yes	no
Actinobacillus rossii	A55, A68, ATCC 27072, CCUG 12395, CIP 102634, NCTC 10801, P624, Ross 192	yes	no
Actinobacillus scotiae	CCUG 46379, CIP 105697, DSM 22205, M2000/95/1, NCTC 12922	yes	no
Actinobacillus seminis	5, A51, A65, ATCC 15768, CCUG 27187, CIP 102633, DSM 22263, NCTC 10851, Simmons K3844-C	yes	yes
Actinobacillus succinogenes	130Z, ATCC 55618, CCUG 43843, CIP 106512	yes	yes
Actinobacillus suis	ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, DSM 22433, NCTC 12996	yes	yes
Actinobacillus ureae	ATCC 25976, CCUG 2139, CIP 62.8, DSM 5568, Henriksen 3520/59, NCTC 10219	yes	yes
Actinobaculum massiliense	CSUR P1982, DSM 100580, FC3, not CCUG 47753, not CIP 107404, not DSM 19118	yes	yes
Actinobaculum suis	ATCC 33144, CCUG 19206, CIP 105361, DSM 20639, LMG 18291, Soltys 50052	yes	yes
Actinocatenispora rupis	CS5-AC17, DSM 45178, NRRL B-24660	yes	no
Actinocatenispora sera	JCM 15920, KV-744, NBRC 101916, NRRL B-24477	yes	yes
Actinocatenispora thailandica	DSM 44816, JCM 12343, PCU 235, TT2-10	yes	no
Actinocorallia aurantiaca	DSM 43924, IFO 15554, IFO 16147, IMET 9577, IMSNU 22193, INA 1933, JCM 8201, KCTC 9554, NBRC 15554, NBRC 16147	yes	no
Actinocorallia aurea	DSM 44434, IFO 14752, JCM 16895, NBRC 14752	no	no
Actinocorallia cavernae	DSM 45040, JCM 13278, N3-7, NRRL B-24429	yes	no
Actinocorallia glomerata	DSM 44360, I-226, IFO 15960, IMSNU 22179, JCM 9376, NBRC 15960	yes	no
Actinocorallia herbida	AL-50780, ATCC 51528, DSM 44254, IFO 15485, JCM 9647, NBRC 15485, VKM Ac-1994	yes	no
Actinocorallia lasiicapitis	3H-GS17, CGMCC 4.7282, DSM 100595	yes	no
Actinocorallia libanotica	ATCC 35576, DSM 43554, IFO 14095, IMET 9616, JCM 10696, JCM 3284, NBRC 14095, NRRL B-16097, VKM Ac-939	yes	no
Actinocorallia longicatena	CIP 105488, DSM 44361, I-497, IFO 15961, IMSNU 22180, JCM 9377, NBRC 15961	yes	no
Actinocrinis puniceicyclus	ATCC BAA-2771, DSM 45618, OB1	yes	no
Actinocrispum wychmicini	DSM 45934, MI503-A4, NBRC 109632	yes	no
Actinokineospora acnipugnans	JCM 31557, KACC 18904, KEMB 9005-403, R434	yes	no
Actinokineospora auranticolor	DSM 44650, IFO 16518, JCM 11646, NBRC 16518, YU 961-1	yes	yes
Actinokineospora baliensis	BTCC B-554, DSM 45656, ID03-0561, NBRC 104211	yes	no
Actinokineospora bangkokensis	44EHW, BCC 53155, DSM 46700, NBRC 108932	yes	yes
Actinokineospora cianjurensis	BTCC B-558, DSM 45657, ID03-0810, NBRC 105526	yes	no
Actinokineospora cibodasensis	BTCC B-555, DSM 45658, ID03-0784, NBRC 104212, not strain ID03-0748	yes	no
Actinokineospora diospyrosa	DSM 44255, IFO 15665, JCM 9921, NBRC 15665, NRRL B-24047, VKM Ac-1984, YU8-1	yes	no
Actinokineospora enzanensis	DSM 44649, IFO 16517, JCM 11647, NBRC 16517, YU 924-101	yes	yes
Actinokineospora fastidiosa	ATCC 31181, DSM 43855, IFO 14105, JCM 3276, NBRC 14105, NRRL B-16697, VKM Ac-1419	yes	no
Actinokineospora globicatena	DSM 44256, IFO 15664, JCM 9922, NBRC 15664, NRRL B-24048, VKM Ac-1981, YU6-1	yes	no
Actinokineospora guangxiensis	CGMCC 4.7154, DSM 46779, Gk-6	yes	no
Actinokineospora inagensis	DSM 44258, IFO 15663, JCM 9923, NBRC 15663, NRRL B-24050, VKM Ac-1982, YU4-1	yes	yes
Actinokineospora mzabensis	CECT 8578, DSM 45961, PAL84	yes	no
Actinokineospora riparia	ATCC 49499, C-39162, DSM 44259, IFO 14541, JCM 7471, NBRC 14541, NRRL B-16432, VKM Ac-1980	yes	no
Actinokineospora soli	DSM 45613, JCM 17695, YIM 75948	yes	no
Actinokineospora spheciospongiae	CCM 8480, DSM 45935, EG49, LMG 27700	yes	yes
Actinokineospora terrae	DSM 44260, IFO 15668, JCM 9924, NBRC 15668, NRRL B-24049, VKM Ac-1983, YU6-3	yes	yes
Actinomadura adrarensis	ACD12, CECT 8842, DSM 46745	yes	no
Actinomadura alba	CCTCC AA206005, DSM 45045, JCM 14906, NBRC 103884, YIM 45681	yes	no
Actinomadura algeriensis	ACD1, CECT 8841, DSM 46744	yes	no
Actinomadura alkaliterrae	D310AT, DSM 101185, KCTC 39657	yes	no
Actinomadura amylolytica	CCTCC AA 2012024, DSM 45822, YIM 77502	yes	no
Actinomadura apis	IM17-1, JCM 16576, TISTR 1980	yes	no
Actinomadura atramentaria	DSM 43919, HUT 6547, IFO 14695, JCM 6250, KCTC 9620, NBRC 14695, NCIMB 12618, SF 2197, SF2197	yes	yes
Actinomadura bangladeshensis	3-46-b(3), JCM 13933, MTCC 8057, MTCC8057	yes	no
Actinomadura barringtoniae	GKU 128, NBRC 113074, TBRC 7225	yes	no
Actinomadura catellatispora	3.24, AS 4.1522, DSM 44772, IFO 16341, JCM 10667, NBRC 16341	yes	no
Actinomadura cellulosilytica	CCTCC AA 2012023, DSM 45823, YIM 77510	yes	no
Actinomadura chibensis	DSM 45038, IFM 10266, JCM 14158, NBRC 106107	yes	yes
Actinomadura chokoriensis	3-45-a(11), JCM 13932, MTCC 8056, MTCC8056	yes	no
Actinomadura citrea	ATCC 27887, BCRC 13352, CCRC 13352, DSM 43461, IFO 14678, IMET 9573, INA 1849, JCM 3295, KCTC 9617, NBRC 14678, NRRL B-16121, VKM Ac-1119	yes	no
Actinomadura coerulea	ATCC 33576, DSM 43675, IFO 14679, IMET 9580, INA 765, JCM 3320, KCTC 9337, NBRC 14679, VKM Ac-1511	yes	no
Actinomadura cremea	ATCC 33577, BCRC 13394, CCRC 13394, DSM 43676, DSM 43676 [[Actinomadura cremea subsp. cremea]], IFO 14182, IMET 9578, IMET 9578 [[Actinomadura cremea subsp. cremea]], INA 292, INA 292 [[Actinomadura cremea subsp. cremea]], JCM 3308, NBRC 14182, NRRL B-16605, VKM Ac-912	yes	no
Actinomadura darangshiensis	DLS-70, DSM 45941, KCTC 29224	yes	no
Actinomadura echinospora	ATCC 27300, BCRC 12547, CCRC 12547, DSM 43163, HUT 6548, IFO 14042, JCM 3148, KCTC 9313, NBRC 14042	yes	yes
Actinomadura fibrosa	A82810.1, ATCC 49459, DSM 44224, IMSNU 22177, JCM 9371, NRRL 18348	yes	no
Actinomadura flavalba	CCTCC AA 208017, DSM 45200, JCM 16896, YIM 61435	yes	yes
Actinomadura formosensis	ATCC 49059, C-36820, CIP 105595, DSM 43997, IFO 14204, IFO 15870, IMSNU 22194, JCM 7474, KCTC 9647, NBRC 14204, NBRC 15870, NCIMB 12773, NRRL B-16984, VKM Ac-1954	yes	yes
Actinomadura fulva subsp. indica	ATCC 53714, SCC 1840	yes	no
Actinomadura fulvescens	DSM 43923, IFO 14347, IMET 9745, INA 3321, JCM 6833, KCTC 9339, NBRC 14347, NRRL B-16245, VKM Ac 938, VKM Ac-938	yes	no
Actinomadura gamaensis	CGMCC 4.7301, DSM 100815, NEAU-Gz5	yes	no
Actinomadura geliboluensis	A8036, DSM 45508, KCTC 19868	yes	no
Actinomadura glauciflava	80-60, AS 4.1202, DSM 44770, IFO 14668, JCM 16161, JCM 6161, NBRC 14668	yes	no
Actinomadura hallensis	DSM 44987, H647-1, IMSNU 50760, JCM 13882, KCCM 42245, NBRC 102110, NRRL B-24436	yes	no
Actinomadura hibisca	ATCC 53557, DSM 44148, IFO 15177, IMSNU 22185, JCM 9627, NBRC 15177, NCIMB 13253, P157-2	yes	yes
Actinomadura jiaoheensis	CGMCC 4.7197, JCM 30341, NEAU-Jh1-3	yes	no
Actinomadura keratinilytica	CCUG 56181, DSM 45195, JCM 17316, WCC-2265	yes	no
Actinomadura kijaniata	13-363, ATCC 31588, DSM 43764, IFO 14229, IMET 9741, JCM 3306, NBRC 14229, NRRL 12069, NRRL B-16261, SCC 1256, VKM Ac-874	yes	yes
Actinomadura latina	A10, ATCC BAA-277, DSM 43382, IFM 0961, JCM 10674, NBRC 106108	yes	yes
Actinomadura livida	ATCC 33578, DSM 43677, IFO 14682, IMET 9575, IMSNU 22191, INA 1678, JCM 3387, NBRC 14682, VKM Ac-908	yes	no
Actinomadura luteofluorescens	ATCC 25469, CBS 702.69, CIP 105484, DSM 40398, IFO 13057, IMET 9672, ISP 5398, JCM 4203, JCM 4491, NBRC 13057, NRRL B-12327, RIA 1249, VKM Ac-1509	yes	no
Actinomadura macra	ATCC 31286, BCRC 13378, CCRC 13378, CIP 105532, DSM 43862, FD 25934, IFO 14102, IMET 9754, JCM 3287, KCC A-0287, KCTC 9342, NBRC 14102, NRRL B-16124, Pfizer FD 25934	yes	yes
Actinomadura madurae	ATCC 19425, CCM 136, CCUG 32944, CECT 3043, CIP 105487, DSM 43067, HAMBI 1926, IAM 14277, IFM 0585, IFO 14623, IMET 9585, JCM 7436, KCTC 9192, NBRC 14623, NCIMB 13469, NCTC 5654, NRRL B-3843, VKM Ac-809	yes	yes
Actinomadura maheshkhaliensis	13-12(50), JCM 13934, MTCC 8055	yes	no
Actinomadura melliaura	SCC 1655	yes	no
Actinomadura meridiana	DLS-45, DSM 45252, JCM 17440, KCTC 19558	yes	no
Actinomadura mexicana	A290, DSM 44485, JCM 13236, NRRL B-24203	yes	yes
Actinomadura meyerae	A288, DSM 44715, JCM 13237, NRRL B-24247	yes	yes
Actinomadura miaoliensis	44T-5, BC 44T-5, BCRC 16873, FIRDI 002, JCM 16702, LMG 24335	yes	no
Actinomadura montaniterrae	CYP1-1B, JCM 16995, KCTC 39784, PCU 349, TISTR 2400	no	no
Actinomadura namibiensis	DSM 44197, HAG 010767, JCM 13238, NRRL B-24153	yes	no
Actinomadura napierensis	B60, DSM 44846, JCM 13850, NRRL B-24319	yes	no
Actinomadura nitritigenes	DSM 44137, IFO 15918, JCM 10104, L46, NBRC 15918, NCIMB 13456	yes	no
Actinomadura oligospora	A 80190.1, A80190.1, ATCC 43269, JCM 10648, NRRL 15878	yes	yes
Actinomadura parvosata	ATCC 53463, SK&amp;F-AAJ-271	no	no
Actinomadura parvosata subsp. kistnae	ATCC 55076, S382-8	no	no
Actinomadura pelletieri	ATCC 33385, CCUG 38891, CIP 105483, DSM 43383, HUT 6549, IAM 12634, IMET 9693, IMSNU 22169, JCM 3388, KCTC 9110, NBRC 103052, NCTC 4162, NRRL B-3997	yes	no
Actinomadura rayongensis	JCM 19830, PCU 332, RY35-68, TISTR 2211	yes	no
Actinomadura rifamycini	ATCC 33264, DSM 43936, IFO 14183, INA 1349, JCM 3309, KCTC 9248, NBRC 14183, NCIMB 12768, NRRL B-16122, VKM Ac 1085, VKM Ac-1085	yes	yes
Actinomadura rubrobrunea	ATCC 49883, CIP 105486, DSM 43750, IFO 15275, IMET 9705, INMI 2991, JCM 7345, KCTC 9493, NBRC 15275, VKM Ac-1470	yes	yes
Actinomadura rudentiformis	DSM 44962, HMC1, JCM 14907, NRRL B-24458	yes	no
Actinomadura rugatobispora	ATCC 51643, CIP 105482, DSM 44130, IFO 14382, JCM 3366, NBRC 14382, NRRL B-16566, SF-2240, SF2240	yes	no
Actinomadura rupiterrae	CS5-AC15, DSM 45251, KCTC 19559	yes	no
Actinomadura scrupuli	DSM 45225, KCTC 19488, R-Ac121	yes	no
Actinomadura sediminis	CCTCC AA 2010009, DSM 45500, YIM M 10931	yes	no
Actinomadura sporangiiformans	CGMCC 4.7211, JCM 30342, NEAU-Jh2-5	yes	no
Actinomadura sputi	CCUG 56589, DSM 45233, IMMIB L-889	yes	no
Actinomadura syzygii	BCC 70456, GKU 157, NBRC 110399	yes	no
Actinomadura umbrina	ATCC 49502, CIP 105485, DSM 43927, IFO 14346, IMET 9746, IMSNU 22165, INA 2309, JCM 6837, NBRC 14346, NRRL B-16244, VKM Ac 1086, VKM Ac-1086	yes	no
Actinomadura verrucosospora	ATCC 27299, BCRC 13408, CBS 258.72, CCM 3492, CCRC 13408, CIP 105480, DSM 43358, DSM 43550, IFO 14100, IMET 9588, JCM 3147, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668	yes	no
Actinomadura verrucosospora subsp. neohibisca	ATCC 53930, R103-3	no	no
Actinomadura vinacea	ATCC 33581, CIP 105481, DSM 43765, IFO 14688, IMET 9574, INA 1682, JCM 3325, KCTC 9344, NBRC 14688	yes	no
Actinomadura viridilutea	ATCC 33925, BCRC 13638, CCRC 13638, DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, NBRC 14480	yes	yes
Actinomadura viridis	ATCC 27103, ATCC 27103 [[Actinomadura malachitica]], ATCC 27888, ATCC 27888 [[Actinomadura malachitica]], BCRC 13398, CBS 833.70, CBS 833.70 [[Actinomadura malachitica]], CCRC 13398, CIP 105478, DSM 43175, DSM 43175 [[Actinomadura malachitica]], DSM 43462, DSM 43462 [[Actinomadura malachitica]], IFO 15238, IMET 9546, IMET 9546 [[Actinomadura malachitica]], IMET 9581, IMET 9581 [[Actinomadura malachitica]], INA 1920, INA 1920 [[Actinomadura malachitica]], JCM 3112, KCTC 9290, NBRC 15238, VKM Ac-1315	yes	no
Actinomadura xylanilytica	BK147, KACC 20919, NCIMB 14771, NRRL B-24852	yes	no
Actinomadura yumaensis	ATCC 43060, CIP 105436, IFO 14689, JCM 3369, KCTC 9495, L-C23024, LL-C23024, NBRC 14689, NRRL 12515	yes	no
Actinomyces bouchesdurhonensis	CSUR P2825, Marseille-P2825	yes	yes
Actinomyces bovis	ATCC 13683, CCUG 31996, CIP 103258, DSM 43014, IMET 10973, NCTC 11535	yes	no
Actinomyces bowdenii	CCUG 37421, CIP 106647, DSM 15435, M1327/96/1	no	no
Actinomyces canis	CCUG 41706, CIP 106351, DSM 15536, M2289/98/2	yes	no
Actinomyces cardiffensis	CCUG 44997, CIP 107323, DSM 15803, R10394	yes	no
Actinomyces catuli	CCUG 41709, CIP 106507, DSM 15415, M1192/98/1	yes	no
Actinomyces coleocanis	CCUG 41708, CIP 106873, DSM 15436, M343/98/2	yes	yes
Actinomyces culturomici	CSUR P3561, Marseille-P3561	yes	no
Actinomyces dentalis	CCUG 48064, CIP 108337, DSM 19115, R18165	yes	yes
Actinomyces denticolens	ATCC 43322, CCUG 32758, CIP 103126, DSM 20671, NCTC 11490, Sh 8/4303, Sh7/4276	yes	yes
Actinomyces europaeus	ATCC 700353, CCUG 32789 A, CCUG 32789A, CIP 105308, LMG 18454	yes	no
Actinomyces funkei	CCUG 42773, CIP 106713, DSM 15537	yes	no
Actinomyces gaoshouyii	CGMCC 4.7372, DSM 104049, pika_113	no	yes
Actinomyces georgiae	ATCC 49285, CCUG 32935, CIP 104749, DSM 6843, VPI D145A-7	yes	yes
Actinomyces gerencseriae	ATCC 23860, CCUG 32936, CCUG 34703, CDC W 838, CDC W838, CIP 105418, DSM 6844, JCM 12963, VPI 12594	yes	yes
Actinomyces glycerinitolerans	DSM 10377, G10, TISTR 2318	yes	no
Actinomyces graevenitzii	CCUG 27294, CIP 105737, DSM 15540	yes	no
Actinomyces haliotis	JCM 18848, KACC 17211, WL80	yes	no
Actinomyces hominis	1094, 7894GR, CCUG 57540, DSM 22168	yes	no
Actinomyces hongkongensis	CCUG 48484, CIP 107949, DSM 15629, HKU8, LMG 21939	yes	yes
Actinomyces hordeovulneris	ATCC 35275, CCUG 32937, CIP 103149, DSM 20732, UCD 81-332-9	no	yes
Actinomyces howellii	ATCC 43323, CCUG 32757, CIP 103127, NCTC 11636, Sh 7/4276	yes	no
Actinomyces hyovaginalis	ATCC 51367, BM 1192/5, CCUG 35604, CCUG 35715, CIP 103923, DSM 10695, NCFB 2983, NCIMB 702983	yes	no
Actinomyces ihumii	CSUR P2006, DSM 100538, SD1	yes	yes
Actinomyces israelii	ATCC 12102, CCUG 18307, CIP 103259, DSM 43320, IMET 10972, JCM 12964, NCTC 12972	yes	yes
Actinomyces johnsonii	ATCC 49338, CCUG 34287, DSM 23038, JCM 16129	yes	no
Actinomyces liubingyangii	CGMCC 4.7370, DSM 104050, VUL4_1	yes	yes
Actinomyces marimammalium	CCUG 41710, CIP 106509, DSM 15383, M1749/98/1	yes	yes
Actinomyces marseillensis	CSUR P2818, Marseille-P2818	yes	yes
Actinomyces massiliensis	4401292, CCUG 53522, CSUR P18, DSM 23047, JCM 16130	yes	yes
Actinomyces mediterranea	CSUR P3257, Marseille-P3257	no	yes
Actinomyces meyeri	ATCC 35568, CCUG 21024, CIP 103148, DSM 20733, LMG 16161, Prevot 2477B, Prvot 2477B, VPI 8617	yes	yes
Actinomyces minihominis	Marseille-P3850	yes	yes
Actinomyces naeslundii	ATCC 12104, CCUG 18310, CCUG 2238, CCUG 32832, CCUG 35333, CDC W826, CIP 103128, DSM 43013, IMET 11091, JCM 8349, NCTC 10301	yes	yes
Actinomyces nasicola	CCUG 46092, CIP 107668, R2014	yes	no
Actinomyces naturae	BL-79, CCUG 56698, NRRL B-24670	yes	no
Actinomyces neuii	97/90, ATCC 51847, CCUG 32252, CIP 104015, DSM 8576	yes	yes
Actinomyces neuii subsp. anitratus	50/90, ATCC 51849, CCUG 32253, CIP 104016, DSM 8577, LMG 14788	yes	no
Actinomyces neuii subsp. neuii	97/90, DSM 8576	no	no
Actinomyces odontolyticus	ATCC 17929, CCUG 20536, CIP 101124, DSM 19120, DSM 43760, JCM 14871, LMG 18080, NCTC 9935	yes	no
Actinomyces oralis	CSUR P3109, Marseille-P3109	yes	no
Actinomyces oricola	CCUG 46090, CIP 107639, DSM 17234, JCM 17565, R5292	yes	no
Actinomyces oris	ATCC 27044, CCUG 34288, DSM 23056, JCM 16131	yes	no
Actinomyces pacaensis	CSUR P2985, Marseille-P2985	yes	yes
Actinomyces polynesiensis	CSUR P658, DSM 27066, MS2	yes	yes
Actinomyces provencensis	CSUR P2166, SN12	yes	yes
Actinomyces radicidentis	CCUG 36733, CIP 106352, DSM 15433	yes	yes
Actinomyces radingae	APL1, ATCC 51856, CCUG 32394, CCUG 34270, CIP 105358, DSM 9169, LMG 15960	yes	yes
Actinomyces ruminicola	B71, CGMCC 1.5030, JCM 13352	yes	no
Actinomyces slackii	ATCC 49928, CCUG 32792, CIP 103130, NCTC 11923, Sh 13/4563	yes	yes
Actinomyces succiniciruminis	AM4, DSM 10376, TISTR 2317	yes	yes
Actinomyces suimastitidis	CCUG 39276, CIP 106779, DSM 15538	yes	yes
Actinomyces timonensis	7400942, CCUG 55928, CSUR P35, DSM 23838	yes	yes
Actinomyces turicensis	APL10, ATCC 51857, CCUG 32401, CCUG 34269, CIP 105357, DSM 9168, LMG 15961	yes	no
Actinomyces urinae	CSURP 2225, Marseille-P2225	yes	yes
Actinomyces urogenitalis	CCUG 38702, CIP 106421, DSM 15434	no	yes
Actinomyces vaccimaxillae	CCUG 46091, CIP 107423, DSM 15804, R10176	yes	yes
Actinomyces viscosus	ATCC 15987, CCUG 14476, CIP 103147, DSM 43327, IMET 11092, JCM 8353, KCC A-0130, NCTC 10951	yes	no
Actinomyces vulturis	CGMCC 4.7366, DSM 103437, VUL7	yes	yes
Actinomyces weissii	2298, 2298/06, CCM 7951, CCUG 61299, CIP 110333, LMG 26472	yes	no
Actinomycetospora atypica	CGMCC 4.7093, DSM 45873, NEAU-st4	yes	no
Actinomycetospora chiangmaiensis	CCTCC AA 205012, DSM 45062, JCM 15998, YIM 0006, YIM 6, YIM6	no	yes
Actinomycetospora chibensis	DSM 45769, JCM 17978, KACC 14256, NBRC 103694, TT04-21	yes	no
Actinomycetospora chlora	DSM 45770, JCM 17979, KACC 14252, NBRC 105900, TT07I-57	yes	no
Actinomycetospora cinnamomea	DSM 45771, IY07-53, JCM 17980, KACC 14250, NBRC 105527	yes	no
Actinomycetospora corticicola	014-5, DSM 45772, JCM 17981, KACC 14253, NBRC 103689	yes	no
Actinomycetospora iriomotensis	DSM 45811, IR73-Li102, KCTC 19783, NBRC 106365	no	no
Actinomycetospora lutea	DSM 45773, JCM 17982, KACC 14254, NBRC 103690, TT00-04	yes	no
Actinomycetospora rhizophila	CGMCC 4.713, CGMCC 4.7134, DSM 46673, NEAU-B-8	yes	no
Actinomycetospora rishiriensis	DSM 45862, KCTC 19782, NBRC 106356, RI109-Li102	yes	no
Actinomycetospora straminea	DSM 45774, IY07-55, JCM 17983, KACC 14251, NBRC 105528	yes	no
Actinomycetospora succinea	DSM 45775, JCM 17984, KACC 14255, NBRC 103691, TT00-49	yes	no
Actinophytocola algeriensis	CECT 8960, DSM 46746, MB20	yes	no
Actinophytocola burenkhanensis	DSM 46707, MN08-A0203, NBRC 105883, VTCC D9-23	yes	no
Actinophytocola corallina	BTCC B-674, DSM 45659, ID06-A0464, NBRC 105525	yes	no
Actinophytocola gilvus	CPCC 203543, DSM 45828, I12A-02593, KCTC 29165, NBRC 109453	yes	no
Actinophytocola oryzae	BCC 31372, DSM 45499, GMKU 367, JCM 17236, NBRC 105245	yes	no
Actinophytocola sediminis	BCRC 16956, DSM 45939, YIM M13705	yes	no
Actinophytocola timorensis	BTCC B-673, DSM 45660, ID05-A0653, NBRC 105524	yes	no
Actinophytocola xanthii	11-183, KCTC 39690, MCCC 1K02062	no	yes
Actinophytocola xinjiangensis	CGMCC 4.4663, DSM 45854, NBRC 106673, QAIII60	yes	yes
Actinoplanes abujensis	A4029, DSM 45518, KCTC 19984, NRRL B-24835	yes	no
Actinoplanes arizonaensis	AB660D-122	no	no
Actinoplanes atraurantiacus	CGMCC 4.6857, JCM 17700, Y16	yes	yes
Actinoplanes auranticolor	ATCC 15330, DSM 43031, HAMBI 1975, IFO 12245, IMET 9034, JCM 3038, NBRC 12245, NRRL B-3343, VKM Ac-648	yes	no
Actinoplanes awajinensis subsp. mycoplanecinus	41042	no	no
Actinoplanes bogorensis	InaCC A522, LIPI11-2-Ac043, NBRC 110975	no	no
Actinoplanes brasiliensis	ATCC 25844, DSM 43805, IFO 13938, JCM 3196, KCC A-0196, NBRC 13938, NRRL B-16714, VKM Ac-1320	yes	no
Actinoplanes campanulatus	ATCC 15348, CBS 190.64, DSM 43148, IFO 12511, IMET 9244, JCM 3059, KCC A-0059, NBRC 12511, NRRL B-3344, UNCC 65, VKM Ac-1319	yes	no
Actinoplanes capillaceus	DSM 44859, IFO 16408, JCM 10268, K95-5561, NBRC 16408	yes	no
Actinoplanes cibodasensis	InaCC A458, LIPI11-2-Ac042, NBRC 110974	yes	no
Actinoplanes consettensis	ATCC 49799, DSM 43942, IFO 14913, JCM 7624, LA 97, NBRC 14913, NCIB 20027, NCIMB 20027, NRRL B-16688	yes	no
Actinoplanes couchii	CIP 109316, DSM 45050, GW8-1761, JCM 15999	yes	no
